,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
10,0.13350372314453124,0.0021398215327907634,0.0023325443267822265,0.0011898114842303236,0.9,400,1,10,0.03,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.4035170738027888,0.5115123999050701,0.15420511858471841,0.2820065390384947,0.2539425907073142,0.32103674440767727,0.12404979148789236,47,0.9208297210686597,0.9147962260897284,0.920367538385123,0.9134150665237478,0.9249451054164501,0.9188707314967418,0.0042271021783192265,-1.40755191847682,-1.6253499490214933,-1.7398380265697353,-1.5186031330016347,-1.5183866457785329,-1.5619459345696431,0.1124981668631109,47,-0.6446463455500142,-0.597354806613922,-0.6073219513320923,-0.645648979959488,-0.6258473043060303,-0.6241638775523095,0.019423448765581348
11,0.13443393707275392,0.004692126789455839,0.0016754627227783202,3.253818813927487e-05,1,400,1,10,0.03,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.524727931546785,0.5295919523913382,0.17164860253344416,0.31929686936508583,0.23851906348950536,0.3567568838652317,0.1467887900643809,33,0.9226420884074467,0.9125792704779375,0.9169951093889819,0.9126150866967762,0.9233101672369959,0.9176283444416276,0.004657201446615316,-1.276731857806444,-1.5804720833993728,-1.7437892973038456,-1.5128223111552577,-1.5208475082920443,-1.526932611591393,0.15015315077265967,35,-0.6364711575546572,-0.6107980379486084,-0.6117123349952699,-0.657156145248413,-0.627662449054718,-0.6287600249603333,0.01720617677885022
12,0.14527449607849122,0.003610767462749829,0.0017749786376953125,7.942730233633389e-05,0.9,400,0.5,12,0.03,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.4126674815575474,0.5081853157799205,0.156780115665758,0.2851894268550287,0.25695603515310705,0.3239556750022723,0.12308516282490738,45,0.9231093272010288,0.9131993094446569,0.9202690531301041,0.9163546895961967,0.9223696687989644,0.9190604096341902,0.0037544417731177637,-1.3962339445203542,-1.625487928005957,-1.7345414463166264,-1.498315259179761,-1.5364367357377082,-1.5582030627520813,0.114818810200738,45,-0.631848894146181,-0.5996372646713256,-0.6071051878356934,-0.6296868754291535,-0.6362922099876404,-0.6209140864139988,0.014672473242816382
13,0.15078287124633788,0.005698952484856112,0.0018668174743652344,0.00024080437008162198,1,400,0.5,12,0.03,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.5280596079122342,0.5153339980884306,0.18437270765931435,0.33250241381018775,0.23864638354333279,0.3597830222027,0.14049926025800033,23,0.9255242538616574,0.9157738228273878,0.924952905847347,0.9202965311250152,0.9260957352058155,0.9225286497734444,0.003954359634096095,-1.2683938236534593,-1.6078745805063557,-1.7167097169353114,-1.4537157650916808,-1.5258733392530872,-1.5145134450879787,0.150996627180222,29,-0.6292820490560225,-0.6012519155502319,-0.5839283643341066,-0.6284852032852173,-0.6234694259262084,-0.6132833916303573,0.017873340235782104
14,0.14674344062805175,0.004015894703235189,0.0017656326293945313,3.4898030357450925e-05,0.9,400,1,12,0.03,5,0.3,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.4126674815575474,0.5081853157799205,0.156780115665758,0.2851894268550287,0.25695603515310705,0.3239556750022723,0.12308516282490738,45,0.9231093272010288,0.9131993094446569,0.9202690531301041,0.9163546895961967,0.9223696687989644,0.9190604096341902,0.0037544417731177637,-1.3962339445203542,-1.625487928005957,-1.7345414463166264,-1.498315259179761,-1.5364367357377082,-1.5582030627520813,0.114818810200738,45,-0.631848894146181,-0.5996372646713256,-0.6071051878356934,-0.6296868754291535,-0.6362922099876404,-0.6209140864139988,0.014672473242816382
15,0.15013585090637208,0.004749282664538214,0.0018429756164550781,0.00022300338766324815,1,400,1,12,0.03,5,0.3,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.03, 'gamma': 5, 'colsample_bytree': 0.3, 'colsample_bylevel': 1}",0.5280596079122342,0.5153339980884306,0.18437270765931435,0.33250241381018775,0.23864638354333279,0.3597830222027,0.14049926025800033,23,0.9255242538616574,0.9157738228273878,0.924952905847347,0.9202965311250152,0.9260957352058155,0.9225286497734444,0.003954359634096095,-1.2683938236534593,-1.6078745805063557,-1.7167097169353114,-1.4537157650916808,-1.5258733392530872,-1.5145134450879787,0.150996627180222,29,-0.6292820490560225,-0.6012519155502319,-0.5839283643341066,-0.6284852032852173,-0.6234694259262084,-0.6132833916303573,0.017873340235782104
16,0.15963149070739746,0.004319895035540609,0.002080345153808594,0.0003655511405908149,0.9,400,0.5,10,0.02,5,0.4,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.4, 'colsample_bylevel': 1}",0.48566341102461286,0.5472385786879123,0.16342751951264167,0.32045631753948667,0.2889098296001501,0.36113913127296077,0.13863718502198144,17,0.918788159731565,0.9171218187099808,0.9157524812789075,0.9127029946102517,0.9245359976304885,0.9177802903922387,0.003923771351858382,-1.3104716560244558,-1.5470333893068378,-1.7401653675879198,-1.450967900060838,-1.519392986451426,-1.5136062598862954,0.1397620262273866,25,-0.6425842889662713,-0.5949182343292236,-0.6227765950012207,-0.6596489366722108,-0.6194807256507874,-0.6278817561239427,0.021947901877750267
17,0.15825777053833007,0.003808905610894039,0.0018621444702148437,9.204767968105957e-05,1,400,0.5,10,0.02,5,0.4,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 0.5, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.4, 'colsample_bylevel': 1}",0.5058767487495377,0.5260568608936946,0.20664649524498668,0.33285991932741144,0.27371624885212964,0.369031254613552,0.12660636333758088,5,0.9241837610197242,0.9154385554822806,0.9209862927513633,0.9116988340816284,0.9241530633931458,0.9192921013456286,0.00495852991071557,-1.284979772567749,-1.571758482302389,-1.7043228681625855,-1.4613114464667536,-1.512571626170989,-1.506988839134093,0.13750741291902144,19,-0.6375825869267986,-0.5924488236236573,-0.5966775377082826,-0.6702757183647157,-0.6281636845970154,-0.6250296702440938,0.028565565352618155
18,0.16232647895812988,0.003628721239049869,0.0019519805908203125,5.956637107354375e-05,0.9,400,1,10,0.02,5,0.4,1,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.4, 'colsample_bylevel': 1}",0.48566341102461286,0.5472385786879123,0.16342751951264167,0.32045631753948667,0.2889098296001501,0.36113913127296077,0.13863718502198144,17,0.918788159731565,0.9171218187099808,0.9157524812789075,0.9127029946102517,0.9245359976304885,0.9177802903922387,0.003923771351858382,-1.3104716560244558,-1.5470333893068378,-1.7401653675879198,-1.450967900060838,-1.519392986451426,-1.5136062598862954,0.1397620262273866,25,-0.6425842889662713,-0.5949182343292236,-0.6227765950012207,-0.6596489366722108,-0.6194807256507874,-0.6278817561239427,0.021947901877750267
19,0.15654778480529785,0.0038370901891665024,0.0019051551818847657,5.452574002773867e-05,1,400,1,10,0.02,5,0.4,1,"{'subsample': 1, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.02, 'gamma': 5, 'colsample_bytree': 0.4, 'colsample_bylevel': 1}",0.5058767487495377,0.5260568608936946,0.20664649524498668,0.33285991932741144,0.27371624885212964,0.369031254613552,0.12660636333758088,5,0.9241837610197242,0.9154385554822806,0.9209862927513633,0.9116988340816284,0.9241530633931458,0.9192921013456286,0.00495852991071557,-1.284979772567749,-1.571758482302389,-1.7043228681625855,-1.4613114464667536,-1.512571626170989,-1.506988839134093,0.13750741291902144,19,-0.6375825869267986,-0.5924488236236573,-0.5966775377082826,-0.6702757183647157,-0.6281636845970154,-0.6250296702440938,0.028565565352618155
