,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,WOOD
347,856,83,1,4,10,8049,P,1933,1919 - 1945,22.23
348,461,63,1,4,6,8057,P,1913,1900 - 1919,28.5
349,1501,151,6,5,6,8057,P,1927,1919 - 1945,12.24
350,499,192,1,1,6,8057,F,1930,1919 - 1945,4.27
363,1955,246,4,4,7,8053,M,1946,1946 - 1960,5.7
364,1178,106,3,5,11,8046,P,1968,1961 - 1970,45.6
365,1125,128,2,4,2,8038,P,1936,1919 - 1945,35.08
370,551,76,5,4,7,8053,P,1965,1961 - 1970,23.6
371,780,112,2,4,7,8053,P,1965,1961 - 1970,33.4
372,1596,238,1,3,9,8048,P,1949,1946 - 1960,8.77
373,1672,192,4,4,9,8048,P,1950,1946 - 1960,14.27
374,1372,163,4,4,9,8048,P,1950,1946 - 1960,11.72
375,1388,165,4,4,9,8048,P,1950,1946 - 1960,11.86
376,2120,193,6,5,9,8048,P,1950,1946 - 1960,18.07
377,1680,192,5,4,9,8048,P,1950,1946 - 1960,14.34
378,1351,186,4,3,9,8048,P,1950,1946 - 1960,11.54
379,2009,166,6,5,9,8048,P,1950,1946 - 1960,17.13
380,1680,195,5,4,9,8048,P,1950,1946 - 1960,14.34
381,1584,184,4,4,9,8048,P,1950,1946 - 1960,13.52
382,1776,165,6,5,9,8048,P,1950,1946 - 1960,15.15
383,1680,194,5,5,9,8048,P,1950,1946 - 1960,14.34
384,1579,184,4,4,9,8048,P,1950,1946 - 1960,13.48
385,1781,166,6,5,9,8048,P,1950,1946 - 1960,15.2
386,1527,167,5,4,9,8048,P,1950,1946 - 1960,13.04
387,1525,164,5,4,9,8048,P,1950,1946 - 1960,13.02
388,1280,162,4,4,9,8048,P,1950,1946 - 1960,10.94
389,1590,161,4,5,9,8048,P,1950,1946 - 1960,13.57
390,1529,166,5,4,9,8048,P,1950,1946 - 1960,13.06
394,329,85,1,2,9,8048,P,1950,1946 - 1960,15.46
395,1162,175,4,3,9,8048,P,1949,1946 - 1960,54.28
396,1227,176,4,3,9,8048,P,1949,1946 - 1960,57.3
397,300,84,1,2,9,8048,P,1950,1946 - 1960,14.1
398,1164,174,4,3,9,8048,P,1949,1946 - 1960,54.38
399,1192,174,5,3,9,8048,P,1949,1946 - 1960,55.67
400,327,84,1,2,9,8048,P,1950,1946 - 1960,15.37
401,1143,175,4,3,9,8048,P,1949,1946 - 1960,53.4
402,1172,176,5,3,9,8048,P,1949,1946 - 1960,54.75
403,1168,175,4,3,9,8048,P,1949,1946 - 1960,54.56
404,1202,173,5,3,9,8048,P,1949,1946 - 1960,56.14
