,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,GLASS
289,447,68,1,4,10,8049,P,1939,1919 - 1945,4.55
290,870,121,2,4,10,8049,P,1939,1919 - 1945,2.0
295,1387,202,5,4,11,8052,P,1940,1919 - 1945,1.6
297,2278,188,8,6,9,8048,P,1930,1919 - 1945,5.27
298,2301,187,8,6,9,8048,P,1930,1919 - 1945,5.32
300,2701,215,13,6,11,8052,P,1939,1919 - 1945,5.0
302,1290,271,1,3,11,8052,P,1950,1946 - 1960,4.58
303,2235,172,8,6,11,8052,P,1948,1946 - 1960,7.94
304,2235,172,8,6,11,8052,P,1948,1946 - 1960,7.94
305,2249,173,8,6,11,8052,P,1948,1946 - 1960,7.99
306,2247,173,8,6,11,8052,P,1948,1946 - 1960,7.98
307,2247,173,8,6,11,8052,P,1948,1946 - 1960,7.98
308,2261,174,8,6,11,8052,P,1948,1946 - 1960,8.03
309,1765,170,6,5,11,8052,P,1948,1946 - 1960,6.27
310,1764,170,6,5,11,8052,P,1948,1946 - 1960,6.27
312,1070,134,1,5,9,8047,P,1930,1919 - 1945,1.92
313,1326,134,6,5,3,8055,P,1933,1919 - 1945,0.99
314,1347,132,6,5,3,8055,P,1933,1919 - 1945,1.01
315,1330,137,6,5,3,8055,P,1934,1919 - 1945,1.0
316,1335,140,6,5,3,8055,P,1934,1919 - 1945,1.0
317,1945,174,5,5,6,8057,P,1934,1919 - 1945,2.82
318,1945,174,6,5,6,8057,P,1934,1919 - 1945,2.82
319,1945,175,5,5,6,8057,P,1934,1919 - 1945,2.82
320,1945,175,6,5,6,8057,P,1934,1919 - 1945,2.82
321,2790,251,6,5,6,8057,P,1933,1919 - 1945,4.04
322,1723,174,6,4,6,8057,P,1934,1919 - 1945,2.5
323,2167,175,6,5,6,8057,P,1934,1919 - 1945,3.14
324,2790,251,6,4,6,8057,P,1933,1919 - 1945,4.04
327,698,79,1,4,10,8049,P,1933,1919 - 1945,3.85
340,530,64,1,4,2,8038,P,1938,1919 - 1945,1.73
343,1770,221,6,4,12,8051,P,1955,1946 - 1960,7.5
345,1010,176,1,5,12,8050,P,1953,1946 - 1960,1.25
346,424,73,1,4,10,8049,P,1936,1919 - 1945,2.5
347,856,83,1,4,10,8049,P,1933,1919 - 1945,5.0
348,461,63,1,4,6,8057,P,1913,1900 - 1919,2.5
349,1501,151,6,5,6,8057,P,1927,1919 - 1945,4.03
350,499,192,1,1,6,8057,F,1930,1919 - 1945,1.4
363,1955,246,4,4,7,8053,M,1946,1946 - 1960,12.5
364,1178,106,3,5,11,8046,P,1968,1961 - 1970,5.0
365,1125,128,2,4,2,8038,P,1936,1919 - 1945,9.62
369,420,58,1,4,7,8044,P,1935,1919 - 1945,2.08
373,1672,192,4,4,9,8048,P,1950,1946 - 1960,0.57
374,1372,163,4,4,9,8048,P,1950,1946 - 1960,0.47
375,1388,165,4,4,9,8048,P,1950,1946 - 1960,0.47
376,2120,193,6,5,9,8048,P,1950,1946 - 1960,0.72
377,1680,192,5,4,9,8048,P,1950,1946 - 1960,0.57
378,1351,186,4,3,9,8048,P,1950,1946 - 1960,0.46
379,2009,166,6,5,9,8048,P,1950,1946 - 1960,0.69
380,1680,195,5,4,9,8048,P,1950,1946 - 1960,0.57
381,1584,184,4,4,9,8048,P,1950,1946 - 1960,0.54
382,1776,165,6,5,9,8048,P,1950,1946 - 1960,0.61
383,1680,194,5,5,9,8048,P,1950,1946 - 1960,0.57
384,1579,184,4,4,9,8048,P,1950,1946 - 1960,0.54
385,1781,166,6,5,9,8048,P,1950,1946 - 1960,0.61
386,1527,167,5,4,9,8048,P,1950,1946 - 1960,0.52
387,1525,164,5,4,9,8048,P,1950,1946 - 1960,0.52
388,1280,162,4,4,9,8048,P,1950,1946 - 1960,0.44
389,1590,161,4,5,9,8048,P,1950,1946 - 1960,0.54
390,1529,166,5,4,9,8048,P,1950,1946 - 1960,0.52
