,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,MINERAL
295,1387,202,5,4,11,8052,P,1940,1919 - 1945,250.0
297,2278,188,8,6,9,8048,P,1930,1919 - 1945,123.53
298,2301,187,8,6,9,8048,P,1930,1919 - 1945,124.77
300,2701,215,13,6,11,8052,P,1939,1919 - 1945,600.0
302,1290,271,1,3,11,8052,P,1950,1946 - 1960,22.92
303,2235,172,8,6,11,8052,P,1948,1946 - 1960,39.71
304,2235,172,8,6,11,8052,P,1948,1946 - 1960,39.71
305,2249,173,8,6,11,8052,P,1948,1946 - 1960,39.96
306,2247,173,8,6,11,8052,P,1948,1946 - 1960,39.92
307,2247,173,8,6,11,8052,P,1948,1946 - 1960,39.92
308,2261,174,8,6,11,8052,P,1948,1946 - 1960,40.17
309,1765,170,6,5,11,8052,P,1948,1946 - 1960,31.36
310,1764,170,6,5,11,8052,P,1948,1946 - 1960,31.34
312,1070,134,1,5,9,8047,P,1930,1919 - 1945,400.0
313,1326,134,6,5,3,8055,P,1933,1919 - 1945,322.93
314,1347,132,6,5,3,8055,P,1933,1919 - 1945,328.04
315,1330,137,6,5,3,8055,P,1934,1919 - 1945,323.9
316,1335,140,6,5,3,8055,P,1934,1919 - 1945,325.12
317,1945,174,5,5,6,8057,P,1934,1919 - 1945,190.55
318,1945,174,6,5,6,8057,P,1934,1919 - 1945,190.55
319,1945,175,5,5,6,8057,P,1934,1919 - 1945,190.55
320,1945,175,6,5,6,8057,P,1934,1919 - 1945,190.55
321,2790,251,6,5,6,8057,P,1933,1919 - 1945,273.34
322,1723,174,6,4,6,8057,P,1934,1919 - 1945,168.8
323,2167,175,6,5,6,8057,P,1934,1919 - 1945,212.3
324,2790,251,6,4,6,8057,P,1933,1919 - 1945,273.34
326,863,104,2,4,9,8048,P,1914,1900 - 1919,244.0
327,698,79,1,4,10,8049,P,1933,1919 - 1945,140.0
328,1737,154,6,5,2,8038,P,1950,1946 - 1960,1221.28
329,1760,156,6,5,2,8038,P,1950,1946 - 1960,1237.45
