I_G,KS_G,I_ME,KS_ME,I_MI,KS_MI,I_W,KS_W,I_Z,KS_Z
34,0.272408293,127,0.226907631,75,0.210141564,115,0.214812827,191,0.261627907
41,0.272408293,18,0.227481354,83,0.212230216,193,0.214812827,6,0.262790698
81,0.273684211,153,0.227481354,28,0.212462288,109,0.214947001,176,0.262790698
59,0.275917065,20,0.228341939,89,0.212578324,14,0.215349524,38,0.263953488
139,0.275917065,142,0.229345955,182,0.212578324,106,0.216020394,85,0.265116279
186,0.276236045,1,0.229632817,126,0.213042469,98,0.216557091,46,0.26627907
79,0.27814992,174,0.229632817,123,0.213274542,18,0.220582316,84,0.26627907
158,0.27814992,69,0.23020654,120,0.214202831,51,0.220582316,116,0.26627907
112,0.279744817,86,0.231067126,92,0.216291483,64,0.220582316,147,0.26627907
138,0.281658692,147,0.231067126,114,0.216523555,156,0.220582316,70,0.26744186
166,0.28261563,74,0.231927711,96,0.217219773,186,0.221655709,183,0.26744186
47,0.284848485,10,0.232358003,115,0.218032026,65,0.222863277,42,0.268604651
56,0.286124402,150,0.234509466,121,0.219656533,111,0.224741715,28,0.269767442
57,0.286124402,76,0.234652897,20,0.22035275,116,0.225412586,66,0.269767442
66,0.286124402,81,0.23680436,131,0.223369691,85,0.226485979,75,0.269767442
62,0.286443381,120,0.237091222,139,0.224065909,25,0.226620153,99,0.269767442
121,0.286443381,43,0.238525531,107,0.224297981,157,0.226620153,96,0.270930233
172,0.286443381,98,0.239386116,85,0.22708285,133,0.227693546,86,0.273255814
77,0.288038278,44,0.239529547,191,0.227546995,122,0.229303636,90,0.273255814
128,0.288038278,183,0.240676994,119,0.227779067,178,0.229303636,154,0.274418605
193,0.288038278,60,0.240820425,179,0.228243212,130,0.22943781,108,0.276744186
177,0.289633174,161,0.241107286,8,0.231144117,1,0.229974507,60,0.279069767
174,0.289952153,49,0.242971888,190,0.231144117,149,0.230511204,100,0.279069767
0,0.291866029,21,0.244262765,140,0.231840334,38,0.2310479,110,0.279069767
9,0.292503987,6,0.244693058,165,0.232072407,174,0.2310479,122,0.279069767
145,0.292503987,82,0.247991968,102,0.235089348,34,0.231584597,94,0.280232558
28,0.294417863,24,0.249856569,14,0.237874217,198,0.231987119,2,0.281395349
175,0.294417863,12,0.251147447,153,0.23868647,49,0.234536428,97,0.28255814
137,0.294736842,62,0.251864601,174,0.23868647,159,0.234536428,168,0.284883721
103,0.296331738,188,0.252438325,147,0.239034579,155,0.234804777,87,0.287209302
116,0.296331738,17,0.25502008,197,0.239034579,117,0.237622434,8,0.288372093
